name,code
diisopromine,A03AX02
chlorbenzoxamine,A03AX03
pinaverium,A03AX04
fenoverine,A03AX05
idanpramine,A03AX06
proxazole,A03AX07
alverine,A03AX08
trepibutone,A03AX09
isometheptene,A03AX10
caroverine,A03AX11
phloroglucinol,A03AX12
silicones,A03AX13
valethamate,A03AX14
menthae piperitae aetheroleum,A03AX15
trimethyldiphenylpropylamine,A03AX30
"alverine, combinations",A03AX58
"belladonna and derivatives, plain",A03B
"belladonna alkaloids, tertiary amines",A03BA
atropine,A03BA01
hyoscyamine,A03BA03
belladonna total alkaloids,A03BA04
"belladonna alkaloids, semisynthetic, quaternary ammonium compounds",A03BB
butylscopolamine,A03BB01
methylatropine,A03BB02
methylscopolamine,A03BB03
fentonium,A03BB04
cimetropium bromide,A03BB05
homatropine methylbromide,A03BB06
antispasmodics in combination with psycholeptics,A03C
synthetic anticholinergic agents in combination with psycholeptics,A03CA
isopropamide and psycholeptics,A03CA01
clidinium and psycholeptics,A03CA02
oxyphencyclimine and psycholeptics,A03CA03
otilonium bromide and psycholeptics,A03CA04
glycopyrronium bromide and psycholeptics,A03CA05
bevonium and psycholeptics,A03CA06
ambutonium and psycholeptics,A03CA07
diphemanil and psycholeptics,A03CA08
pipenzolate and psycholeptics,A03CA09
emepronium and psycholeptics,A03CA30
propantheline and psycholeptics,A03CA34
belladonna and derivatives in combination with psycholeptics,A03CB
methylscopolamine and psycholeptics,A03CB01
belladonna total alkaloids and psycholeptics,A03CB02
atropine and psycholeptics,A03CB03
homatropine methylbromide and psycholeptics,A03CB04
hyoscyamine and psycholeptics,A03CB31
other antispasmodics in combination with psycholeptics,A03CC
antispasmodics in combination with analgesics,A03D
synthetic anticholinergic agents in combination with analgesics,A03DA
tropenzilone and analgesics,A03DA01
pitofenone and analgesics,A03DA02
bevonium and analgesics,A03DA03
ciclonium and analgesics,A03DA04
camylofin and analgesics,A03DA05
trospium and analgesics,A03DA06
tiemonium iodide and analgesics,A03DA07
belladonna and derivatives in combination with analgesics,A03DB
butylscopolamine and analgesics,A03DB04
other antispasmodics in combination with analgesics,A03DC
antispasmodics and anticholinergics in combination with other drugs,A03E
"antispasmodics, psycholeptics and analgesics in combination",A03EA
antispasmodics in combination with other drugs,A03ED
propulsives,A03F
propulsives,A03FA
metoclopramide,A03FA01
cisapride,A03FA02
domperidone,A03FA03
bromopride,A03FA04
alizapride,A03FA05
clebopride,A03FA06
itopride,A03FA07
cinitapride,A03FA08
mosapride,A03FA09
"synthetic anticholinergics, esters with tertiary amino group",A03AA
oxyphencyclimine,A03AA01
camylofin,A03AA03
mebeverine,A03AA04
trimebutine,A03AA05
rociverine,A03AA06
dicycloverine,A03AA07
dihexyverine,A03AA08
difemerine,A03AA09
piperidolate,A03AA30
antiemetics and antinauseants,A04
antiemetics and antinauseants,A04A
other antiemetics,A04AD
scopolamine,A04AD01
cerium oxalate,A04AD02
chlorobutanol,A04AD04
metopimazine,A04AD05
dronabinol,A04AD10
nabilone,A04AD11
aprepitant,A04AD12
casopitant,A04AD13
rolapitant,A04AD14
"scopolamine, combinations",A04AD51
"chlorobutanol, combinations",A04AD54
serotonin (5ht<n>3</n>) antagonists,A04AA
ondansetron,A04AA01
granisetron,A04AA02
tropisetron,A04AA03
dolasetron,A04AA04
palonosetron,A04AA05
"palonosetron, combinations",A04AA55
bile and liver therapy,A05
bile therapy,A05A
preparations for biliary tract therapy,A05AB
nicotinyl methylamide,A05AB01
other drugs for bile therapy,A05AX
piprozolin,A05AX01
hymecromone,A05AX02
cyclobutyrol,A05AX03
"liver therapy, lipotropics",A05B
liver therapy,A05BA
arginine glutamate,A05BA01
silymarin,A05BA03
citiolone,A05BA04
epomediol,A05BA05
ornithine oxoglurate,A05BA06
tidiacic arginine,A05BA07
glycyrrhizic acid,A05BA08
metadoxine,A05BA09
drugs for bile therapy and lipotropics in combination,A05C
bile acids and derivatives,A05AA
chenodeoxycholic acid,A05AA01
ursodeoxycholic acid,A05AA02
cholic acid,A05AA03
obeticholic acid,A05AA04
drugs for constipation,A06
drugs for constipation,A06A
contact laxatives,A06AB
oxyphenisatine,A06AB01
bisacodyl,A06AB02
dantron,A06AB03
phenolphthalein,A06AB04
castor oil,A06AB05
senna glycosides,A06AB06
cascara,A06AB07
sodium picosulfate,A06AB08
bisoxatin,A06AB09
contact laxatives in combination,A06AB20
contact laxatives in combination with belladonna alkaloids,A06AB30
"bisacodyl, combinations",A06AB52
"dantron, combinations",A06AB53
"senna glycosides, combinations",A06AB56
"cascara, combinations",A06AB57
"sodium picosulfate, combinations",A06AB58
bulk-forming laxatives,A06AC
ispaghula (psylla seeds),A06AC01
ethulose,A06AC02
sterculia,A06AC03
linseed,A06AC05
methylcellulose,A06AC06
triticum (wheat fibre),A06AC07
polycarbophil calcium,A06AC08
"ispaghula, combinations",A06AC51
"sterculia, combinations",A06AC53
"linseed, combinations",A06AC55
osmotically acting laxatives,A06AD
magnesium carbonate,A06AD01
magnesium oxide,A06AD02
magnesium peroxide,A06AD03
magnesium sulfate,A06AD04
mineral salts in combination,A06AD10
lactulose,A06AD11
lactitol,A06AD12
sodium sulfate,A06AD13
pentaerithrityl,A06AD14
macrogol,A06AD15
mannitol,A06AD16
sodium phosphate,A06AD17
sorbitol,A06AD18
magnesium citrate,A06AD19
sodium tartrate,A06AD21
"lactulose, combinations",A06AD61
"macrogol, combinations",A06AD65
enemas,A06AG
sodium phosphate,A06AG01
bisacodyl,A06AG02
"dantron, incl. combinations",A06AG03
glycerol,A06AG04
oil,A06AG06
sorbitol,A06AG07
"docusate sodium, incl. combinations",A06AG10
"sodium lauryl sulfoacetate, incl. combinations",A06AG11
combinations,A06AG20
peripheral opioid receptor antagonists,A06AH
methylnaltrexone bromide,A06AH01
alvimopan,A06AH02
naloxegol,A06AH03
naloxone,A06AH04
naldemedine,A06AH05
other drugs for constipation,A06AX
glycerol,A06AX01
carbon dioxide producing drugs,A06AX02
lubiprostone,A06AX03
linaclotide,A06AX04
prucalopride,A06AX05
tegaserod,A06AX06
plecanatide,A06AX07
tenapanor,A06AX08
"softeners, emollients",A06AA
liquid paraffin,A06AA01
docusate sodium,A06AA02
"liquid paraffin, combinations",A06AA51
"antidiarrheals, intestinal antiinflammatory/antiinfective agents",A07
intestinal antiinfectives,A07A
sulfonamides,A07AB
phthalylsulfathiazole,A07AB02
sulfaguanidine,A07AB03
succinylsulfathiazole,A07AB04
imidazole derivatives,A07AC
miconazole,A07AC01
other intestinal antiinfectives,A07AX
broxyquinoline,A07AX01
acetarsol,A07AX02
nifuroxazide,A07AX03
nifurzide,A07AX04
intestinal adsorbents,A07B
charcoal preparations,A07BA
medicinal charcoal,A07BA01
"medicinal charcoal, combinations",A07BA51
bismuth preparations,A07BB
other intestinal adsorbents,A07BC
pectin,A07BC01
kaolin,A07BC02
crospovidone,A07BC03
attapulgite,A07BC04
diosmectite,A07BC05
combinations,A07BC30
"attapulgite, combinations",A07BC54
electrolytes with carbohydrates,A07C
oral rehydration salt formulations,A07CA
antipropulsives,A07D
antipropulsives,A07DA
diphenoxylate,A07DA01
opium,A07DA02
loperamide,A07DA03
difenoxin,A07DA04
loperamide oxide,A07DA05
eluxadoline,A07DA06
"morphine, combinations",A07DA52
"loperamide, combinations",A07DA53
intestinal antiinflammatory agents,A07E
corticosteroids acting locally,A07EA
prednisolone,A07EA01
hydrocortisone,A07EA02
prednisone,A07EA03
betamethasone,A07EA04
tixocortol,A07EA05
budesonide,A07EA06
beclometasone,A07EA07
"antiallergic agents, excl. corticosteroids",A07EB
cromoglicic acid,A07EB01
aminosalicylic acid and similar agents,A07EC
sulfasalazine,A07EC01
mesalazine,A07EC02
olsalazine,A07EC03
balsalazide,A07EC04
antidiarrheal microorganisms,A07F
antidiarrheal microorganisms,A07FA
lactic acid producing organisms,A07FA01
saccharomyces boulardii,A07FA02
"lactic acid producing organisms, combinations",A07FA51
other antidiarrheals,A07X
other antidiarrheals,A07XA
albumin tannate,A07XA01
ceratonia,A07XA02
calcium compounds,A07XA03
racecadotril,A07XA04
crofelemer,A07XA06
"albumin tannate, combinations",A07XA51
antibiotics,A07AA
neomycin,A07AA01
nystatin,A07AA02
natamycin,A07AA03
streptomycin,A07AA04
polymyxin b,A07AA05
paromomycin,A07AA06
amphotericin b,A07AA07
kanamycin,A07AA08
vancomycin,A07AA09
colistin,A07AA10
rifaximin,A07AA11
fidaxomicin,A07AA12
rifamycin,A07AA13
"neomycin, combinations",A07AA51
"streptomycin, combinations",A07AA54
"antiobesity preparations, excl. diet products",A08
"antiobesity preparations, excl. diet products",A08A
peripherally acting antiobesity products,A08AB
orlistat,A08AB01
other antiobesity drugs,A08AX
rimonabant,A08AX01
centrally acting antiobesity products,A08AA
phentermine,A08AA01
fenfluramine,A08AA02
amfepramone,A08AA03
dexfenfluramine,A08AA04
mazindol,A08AA05
etilamfetamine,A08AA06
cathine,A08AA07
clobenzorex,A08AA08
mefenorex,A08AA09
sibutramine,A08AA10
lorcaserin,A08AA11
"ephedrine, combinations",A08AA56
bupropion and naltrexone,A08AA62
"digestives, incl. enzymes",A09
"digestives, incl. enzymes",A09A
acid preparations,A09AB
glutamic acid hydrochloride,A09AB01
betaine hydrochloride,A09AB02
hydrochloric acid,A09AB03
citric acid,A09AB04
"enzyme and acid preparations, combinations",A09AC
pepsin and acid preparations,A09AC01
multienzymes and acid preparations,A09AC02
enzyme preparations,A09AA
diastase,A09AA01
"multienzymes (lipase, protease etc.)",A09AA02
pepsin,A09AA03
tilactase,A09AA04
drugs used in diabetes,A10
insulins and analogues,A10A
"insulins and analogues for injection, fast-acting",A10AB
insulin (human),A10AB01
insulin (beef),A10AB02
insulin (pork),A10AB03
insulin lispro,A10AB04
insulin aspart,A10AB05
insulin glulisine,A10AB06
combinations,A10AB30
"insulins and analogues for injection, intermediate-acting",A10AC
insulin (human),A10AC01
insulin (beef),A10AC02
insulin (pork),A10AC03
insulin lispro,A10AC04
combinations,A10AC30
"insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD
insulin (human),A10AD01
insulin (beef),A10AD02
insulin (pork),A10AD03
insulin lispro,A10AD04
insulin aspart,A10AD05
insulin degludec and insulin aspart,A10AD06
combinations,A10AD30
"insulins and analogues for injection, long-acting",A10AE
insulin (human),A10AE01
insulin (beef),A10AE02
insulin (pork),A10AE03
insulin glargine,A10AE04
insulin detemir,A10AE05
insulin degludec,A10AE06
combinations,A10AE30
insulin glargine and lixisenatide,A10AE54
insulin degludec and liraglutide,A10AE56
insulins and analogues for inhalation,A10AF
insulin (human),A10AF01
"blood glucose lowering drugs, excl. insulins",A10B
biguanides,A10BA
phenformin,A10BA01
metformin,A10BA02
buformin,A10BA03
sulfonylureas,A10BB
glibenclamide,A10BB01
chlorpropamide,A10BB02
tolbutamide,A10BB03
glibornuride,A10BB04
tolazamide,A10BB05
carbutamide,A10BB06
glipizide,A10BB07
gliquidone,A10BB08
gliclazide,A10BB09
metahexamide,A10BB10
glisoxepide,A10BB11
glimepiride,A10BB12
acetohexamide,A10BB31
sulfonamides (heterocyclic),A10BC
glymidine,A10BC01
combinations of oral blood glucose lowering drugs,A10BD
phenformin and sulfonylureas,A10BD01
metformin and sulfonylureas,A10BD02
metformin and rosiglitazone,A10BD03
glimepiride and rosiglitazone,A10BD04
metformin and pioglitazone,A10BD05
glimepiride and pioglitazone,A10BD06
metformin and sitagliptin,A10BD07
metformin and vildagliptin,A10BD08
pioglitazone and alogliptin,A10BD09
metformin and saxagliptin,A10BD10
metformin and linagliptin,A10BD11
pioglitazone and sitagliptin,A10BD12
metformin and alogliptin,A10BD13
metformin and repaglinide,A10BD14
metformin and dapagliflozin,A10BD15
metformin and canagliflozin,A10BD16
metformin and acarbose,A10BD17
metformin and gemigliptin,A10BD18
linagliptin and empagliflozin,A10BD19
metformin and empagliflozin,A10BD20
saxagliptin and dapagliflozin,A10BD21
metformin and evogliptin,A10BD22
metformin and ertugliflozin,A10BD23
sitagliptin and ertugliflozin,A10BD24
"metformin, saxagliptin and dapagliflozin",A10BD25
metformin and lobeglitazone,A10BD26
alpha glucosidase inhibitors,A10BF
acarbose,A10BF01
miglitol,A10BF02
voglibose,A10BF03
thiazolidinediones,A10BG
troglitazone,A10BG01
rosiglitazone,A10BG02
pioglitazone,A10BG03
lobeglitazone,A10BG04
dipeptidyl peptidase 4 (dpp-4) inhibitors,A10BH
sitagliptin,A10BH01
vildagliptin,A10BH02
saxagliptin,A10BH03
alogliptin,A10BH04
linagliptin,A10BH05
gemigliptin,A10BH06
evogliptin,A10BH07
teneligliptin,A10BH08
sitagliptin and simvastatin,A10BH51
gemigliptin and rosuvastatin,A10BH52
glucagon-like peptide-1 (glp-1) analogues,A10BJ
exenatide,A10BJ01
liraglutide,A10BJ02
lixisenatide,A10BJ03
albiglutide,A10BJ04
dulaglutide,A10BJ05
semaglutide,A10BJ06
beinaglutide,A10BJ07
sodium-glucose co-transporter 2 (sglt2) inhibitors,A10BK
dapagliflozin,A10BK01
canagliflozin,A10BK02
empagliflozin,A10BK03
ertugliflozin,A10BK04
ipragliflozin,A10BK05
sotagliflozin,A10BK06
luseogliflozin,A10BK07
"other blood glucose lowering drugs, excl. insulins",A10BX
guar gum,A10BX01
repaglinide,A10BX02
nateglinide,A10BX03
pramlintide,A10BX05
benfluorex,A10BX06
mitiglinide,A10BX08
other drugs used in diabetes,A10X
aldose reductase inhibitors,A10XA
tolrestat,A10XA01
vitamins,A11
"multivitamins, combinations",A11A
"multivitamins, other combinations",A11AB
"multivitamins, plain",A11B
"multivitamins, plain",A11BA
"vitamin a and d, incl. combinations of the two",A11C
"vitamin a, plain",A11CA
retinol (vit a),A11CA01
betacarotene,A11CA02
vitamin a and d in combination,A11CB
vitamin d and analogues,A11CC
ergocalciferol,A11CC01
dihydrotachysterol,A11CC02
alfacalcidol,A11CC03
calcitriol,A11CC04
colecalciferol,A11CC05
calcifediol,A11CC06
combinations,A11CC20
"colecalciferol, combinations",A11CC55
"vitamin b<n>1</n>, plain and in combination with vitamin b<n>6</n> and b<n>12</n>",A11D
"vitamin b<n>1</n>, plain",A11DA
thiamine (vit b<n>1</n>),A11DA01
sulbutiamine,A11DA02
benfotiamine,A11DA03
vitamin b<n>1</n> in combination with vitamin b<n>6</n> and/or vitamin b<n>12</n>,A11DB
"vitamin b-complex, incl. combinations",A11E
"vitamin b-complex, plain",A11EA
vitamin b-complex with vitamin c,A11EB
vitamin b-complex with minerals,A11EC
vitamin b-complex with anabolic steroids,A11ED
"vitamin b-complex, other combinations",A11EX
"ascorbic acid (vitamin c), incl. combinations",A11G
"ascorbic acid (vitamin c), plain",A11GA
ascorbic acid (vit c),A11GA01
"ascorbic acid (vitamin c), combinations",A11GB
ascorbic acid (vit c) and calcium,A11GB01
other plain vitamin preparations,A11H
other plain vitamin preparations,A11HA
nicotinamide,A11HA01
pyridoxine (vit b<n>6</n>),A11HA02
tocopherol (vit e),A11HA03
riboflavin (vit b<n>2</n>),A11HA04
biotin,A11HA05
pyridoxal phosphate,A11HA06
inositol,A11HA07
tocofersolan,A11HA08
dexpanthenol,A11HA30
calcium pantothenate,A11HA31
pantethine,A11HA32
"other vitamin products, combinations",A11J
combinations of vitamins,A11JA
vitamins with minerals,A11JB
"vitamins, other combinations",A11JC
multivitamins with minerals,A11AA
multivitamins and iron,A11AA01
multivitamins and calcium,A11AA02
"multivitamins and other minerals, incl. combinations",A11AA03
multivitamins and trace elements,A11AA04
mineral supplements,A12
calcium,A12A
"calcium, combinations with vitamin d and/or other drugs",A12AX
potassium,A12B
potassium,A12BA
potassium chloride,A12BA01
potassium citrate,A12BA02
potassium hydrogentartrate,A12BA03
potassium hydrogencarbonate,A12BA04
potassium gluconate,A12BA05
potassium (different salts in combination),A12BA30
"potassium chloride, combinations",A12BA51
other mineral supplements,A12C
sodium,A12CA
sodium chloride,A12CA01
sodium sulfate,A12CA02
zinc,A12CB
zinc sulfate,A12CB01
zinc gluconate,A12CB02
zinc protein complex,A12CB03
magnesium,A12CC
magnesium chloride,A12CC01
magnesium sulfate,A12CC02
magnesium gluconate,A12CC03
magnesium citrate,A12CC04
magnesium aspartate,A12CC05
magnesium lactate,A12CC06
magnesium levulinate,A12CC07
magnesium pidolate,A12CC08
magnesium orotate,A12CC09
magnesium oxide,A12CC10
magnesium (different salts in combination),A12CC30
fluoride,A12CD
sodium fluoride,A12CD01
sodium monofluorophosphate,A12CD02
"fluoride, combinations",A12CD51
selenium,A12CE
sodium selenate,A12CE01
sodium selenite,A12CE02
other mineral products,A12CX
calcium,A12AA
calcium phosphate,A12AA01
calcium glubionate,A12AA02
calcium gluconate,A12AA03
calcium carbonate,A12AA04
calcium lactate,A12AA05
calcium lactate gluconate,A12AA06
calcium chloride,A12AA07
calcium glycerylphosphate,A12AA08
calcium citrate lysine complex,A12AA09
calcium glucoheptonate,A12AA10
calcium pangamate,A12AA11
calcium citrate,A12AA13
calcium (different salts in combination),A12AA20
calcium laevulate,A12AA30
tonics,A13
tonics,A13A
anabolic agents for systemic use,A14
anabolic steroids,A14A
estren derivatives,A14AB
nandrolone,A14AB01
ethylestrenol,A14AB02
oxabolone cipionate,A14AB03
other anabolic agents,A14B
androstan derivatives,A14AA
androstanolone,A14AA01
stanozolol,A14AA02
metandienone,A14AA03
metenolone,A14AA04
oxymetholone,A14AA05
quinbolone,A14AA06
prasterone,A14AA07
oxandrolone,A14AA08
norethandrolone,A14AA09
appetite stimulants,A15
other alimentary tract and metabolism products,A16
other alimentary tract and metabolism products,A16A
enzymes,A16AB
alglucerase,A16AB01
imiglucerase,A16AB02
agalsidase alfa,A16AB03
agalsidase beta,A16AB04
laronidase,A16AB05
sacrosidase,A16AB06
alglucosidase alfa,A16AB07
galsulfase,A16AB08
idursulfase,A16AB09
velaglucerase alfa,A16AB10
taliglucerase alfa,A16AB11
elosulfase alfa,A16AB12
asfotase alfa,A16AB13
sebelipase alfa,A16AB14
velmanase alfa,A16AB15
idursulfase beta,A16AB16
cerliponase alfa,A16AB17
vestronidase alfa,A16AB18
pegvaliase,A16AB19
various alimentary tract and metabolism products,A16AX
thioctic acid,A16AX01
anethole trithione,A16AX02
sodium phenylbutyrate,A16AX03
nitisinone,A16AX04
zinc acetate,A16AX05
miglustat,A16AX06
sapropterin,A16AX07
teduglutide,A16AX08
glycerol phenylbutyrate,A16AX09
eliglustat,A16AX10
sodium benzoate,A16AX11
trientine,A16AX12
uridine triacetate,A16AX13
migalastat,A16AX14
telotristat,A16AX15
givosiran,A16AX16
triheptanoin,A16AX17
lumasiran,A16AX18
sodium benzoate and sodium phenylacetate,A16AX30
amino acids and derivatives,A16AA
levocarnitine,A16AA01
ademetionine,A16AA02
glutamine,A16AA03
mercaptamine,A16AA04
carglumic acid,A16AA05
betaine,A16AA06
metreleptin,A16AA07
blood and blood forming organs,B
antithrombotic agents,B01
antithrombotic agents,B01A
heparin group,B01AB
heparin,B01AB01
antithrombin iii,B01AB02
dalteparin,B01AB04
enoxaparin,B01AB05
nadroparin,B01AB06
parnaparin,B01AB07
reviparin,B01AB08
danaparoid,B01AB09
tinzaparin,B01AB10
sulodexide,B01AB11
bemiparin,B01AB12
"heparin, combinations",B01AB51
platelet aggregation inhibitors excl. heparin,B01AC
ditazole,B01AC01
cloricromen,B01AC02
picotamide,B01AC03
clopidogrel,B01AC04
ticlopidine,B01AC05
acetylsalicylic acid,B01AC06
dipyridamole,B01AC07
carbasalate calcium,B01AC08
epoprostenol,B01AC09
indobufen,B01AC10
iloprost,B01AC11
abciximab,B01AC13
aloxiprin,B01AC15
eptifibatide,B01AC16
tirofiban,B01AC17
triflusal,B01AC18
beraprost,B01AC19
treprostinil,B01AC21
prasugrel,B01AC22
cilostazol,B01AC23
ticagrelor,B01AC24
cangrelor,B01AC25
vorapaxar,B01AC26
selexipag,B01AC27
combinations,B01AC30
"acetylsalicylic acid, combinations with proton pump inhibitors",B01AC56
enzymes,B01AD
streptokinase,B01AD01
alteplase,B01AD02
anistreplase,B01AD03
urokinase,B01AD04
fibrinolysin,B01AD05
brinase,B01AD06
reteplase,B01AD07
saruplase,B01AD08
ancrod,B01AD09
drotrecogin alfa (activated),B01AD10
tenecteplase,B01AD11
protein c,B01AD12
direct thrombin inhibitors,B01AE
desirudin,B01AE01
lepirudin,B01AE02
argatroban,B01AE03
melagatran,B01AE04
ximelagatran,B01AE05
bivalirudin,B01AE06
dabigatran etexilate,B01AE07
direct factor xa inhibitors,B01AF
rivaroxaban,B01AF01
apixaban,B01AF02
edoxaban,B01AF03
betrixaban,B01AF04
other antithrombotic agents,B01AX
defibrotide,B01AX01
dermatan sulfate,B01AX04
fondaparinux,B01AX05
caplacizumab,B01AX07
vitamin k antagonists,B01AA
dicoumarol,B01AA01
phenindione,B01AA02
warfarin,B01AA03
phenprocoumon,B01AA04
acenocoumarol,B01AA07
ethyl biscoumacetate,B01AA08
clorindione,B01AA09
diphenadione,B01AA10
tioclomarol,B01AA11
fluindione,B01AA12
antihemorrhagics,B02
antifibrinolytics,B02A
proteinase inhibitors,B02AB
aprotinin,B02AB01
alfa1 antitrypsin,B02AB02
camostat,B02AB04
ulinastatin,B02AB05
vitamin k and other hemostatics,B02B
vitamin k,B02BA
phytomenadione,B02BA01
menadione,B02BA02
fibrinogen,B02BB
"fibrinogen, human",B02BB01
local hemostatics,B02BC
absorbable gelatin sponge,B02BC01
oxidized cellulose,B02BC02
tetragalacturonic acid hydroxymethylester,B02BC03
adrenalone,B02BC05
thrombin,B02BC06
collagen,B02BC07
calcium alginate,B02BC08
epinephrine,B02BC09
combinations,B02BC30
blood coagulation factors,B02BD
"coagulation factor ix, ii, vii and x in combination",B02BD01
coagulation factor viii,B02BD02
factor viii inhibitor bypassing activity,B02BD03
coagulation factor ix,B02BD04
coagulation factor vii,B02BD05
von willebrand factor and coagulation factor viii in combination,B02BD06
coagulation factor xiii,B02BD07
coagulation factor viia,B02BD08
von willebrand factor,B02BD10
catridecacog,B02BD11
coagulation factor x,B02BD13
susoctocog alfa,B02BD14
thrombin,B02BD30
other systemic hemostatics,B02BX
etamsylate,B02BX01
carbazochrome,B02BX02
batroxobin,B02BX03
